case_id,activity,timestamp,amount,resource
PO-00001,Create,2026-01-01T01:00:00+00:00,637,Procurement
PO-00001,Approve,2026-01-01T03:15:00+00:00,637,Finance
PO-00001,Pay,2026-01-01T04:30:00+00:00,637,AP
PO-00002,Create,2026-01-01T02:00:00+00:00,774,Procurement
PO-00002,Approve,2026-01-01T05:15:00+00:00,774,Finance
PO-00002,Pay,2026-01-01T06:30:00+00:00,774,AP
PO-00003,Create,2026-01-01T03:00:00+00:00,911,Procurement
PO-00003,Approve,2026-01-01T07:15:00+00:00,911,Finance
PO-00003,Pay,2026-01-01T08:30:00+00:00,911,AP
PO-00004,Create,2026-01-01T04:00:00+00:00,1048,Procurement
PO-00004,Approve,2026-01-01T09:15:00+00:00,1048,Finance
PO-00004,Pay,2026-01-01T10:30:00+00:00,1048,AP
PO-00005,Create,2026-01-01T05:00:00+00:00,1185,Procurement
PO-00005,Approve,2026-01-01T11:15:00+00:00,1185,Finance
PO-00005,Pay,2026-01-01T12:30:00+00:00,1185,AP
PO-00006,Create,2026-01-01T06:00:00+00:00,1322,Procurement
PO-00006,Approve,2026-01-01T13:15:00+00:00,1322,Finance
PO-00006,Pay,2026-01-01T14:30:00+00:00,1322,AP
PO-00007,Create,2026-01-01T07:00:00+00:00,1459,Procurement
PO-00007,Approve,2026-01-01T15:15:00+00:00,1459,Finance
PO-00007,Approve,2026-01-01T15:30:00+00:00,1459,AP
PO-00007,Pay,2026-01-01T16:45:00+00:00,1459,Finance
PO-00008,Create,2026-01-01T08:00:00+00:00,1596,Procurement
PO-00008,Approve,2026-01-01T17:15:00+00:00,1596,Finance
PO-00008,Pay,2026-01-01T18:30:00+00:00,1596,AP
PO-00009,Create,2026-01-01T09:00:00+00:00,1733,Procurement
PO-00009,Approve,2026-01-01T19:15:00+00:00,1733,Finance
PO-00009,Pay,2026-01-01T20:30:00+00:00,1733,AP
PO-00010,Create,2026-01-01T10:00:00+00:00,1870,Procurement
PO-00010,Approve,2026-01-01T21:15:00+00:00,1870,Finance
PO-00010,Pay,2026-01-01T22:30:00+00:00,1870,AP
PO-00011,Create,2026-01-01T11:00:00+00:00,2007,Procurement
PO-00011,Approve,2026-01-01T23:15:00+00:00,2007,Finance
PO-00011,Pay,2026-01-02T00:30:00+00:00,2007,AP
PO-00012,Create,2026-01-01T12:00:00+00:00,2144,Procurement
PO-00012,Approve,2026-01-02T01:15:00+00:00,2144,Finance
PO-00012,Pay,2026-01-02T02:30:00+00:00,2144,AP
PO-00013,Create,2026-01-01T13:00:00+00:00,2281,Procurement
PO-00013,Approve,2026-01-02T03:15:00+00:00,2281,Finance
PO-00013,Pay,2026-01-02T04:30:00+00:00,2281,AP
PO-00014,Create,2026-01-01T14:00:00+00:00,2418,Procurement
PO-00014,Approve,2026-01-02T05:15:00+00:00,2418,Finance
PO-00014,Approve,2026-01-02T05:30:00+00:00,2418,AP
PO-00014,Pay,2026-01-02T06:45:00+00:00,2418,Finance
PO-00015,Create,2026-01-01T15:00:00+00:00,2555,Procurement
PO-00015,Approve,2026-01-02T07:15:00+00:00,2555,Finance
PO-00015,Pay,2026-01-02T08:30:00+00:00,2555,AP
PO-00016,Create,2026-01-01T16:00:00+00:00,2692,Procurement
PO-00016,Approve,2026-01-02T09:15:00+00:00,2692,Finance
PO-00016,Pay,2026-01-02T10:30:00+00:00,2692,AP
PO-00017,Create,2026-01-01T17:00:00+00:00,2829,Procurement
PO-00017,Approve,2026-01-02T11:15:00+00:00,2829,Finance
PO-00017,Pay,2026-01-02T12:30:00+00:00,2829,AP
PO-00018,Create,2026-01-01T18:00:00+00:00,2966,Procurement
PO-00018,Approve,2026-01-02T13:15:00+00:00,2966,Finance
PO-00018,Pay,2026-01-02T14:30:00+00:00,2966,AP
PO-00019,Create,2026-01-01T19:00:00+00:00,3103,Procurement
PO-00019,Approve,2026-01-02T15:15:00+00:00,3103,Finance
PO-00019,Pay,2026-01-02T16:30:00+00:00,3103,AP
PO-00020,Create,2026-01-01T20:00:00+00:00,3240,Procurement
PO-00020,Approve,2026-01-02T17:15:00+00:00,3240,Finance
PO-00020,Pay,2026-01-02T18:30:00+00:00,3240,AP
PO-00021,Create,2026-01-01T21:00:00+00:00,3377,Procurement
PO-00021,Approve,2026-01-02T19:15:00+00:00,3377,Finance
PO-00021,Approve,2026-01-02T19:30:00+00:00,3377,AP
PO-00021,Pay,2026-01-02T20:45:00+00:00,3377,Finance
